device_id,device_type,firmware_version,connection_type,packet_count,avg_packet_size,bandwidth_usage_mb,failed_connection_attempts,unusual_port_access,protocol_type,login_attempts,encryption_used,anomaly_score,geo_location,traffic_spike_ratio,intrusion_label
D1,Smart Plug,v1.1,5G,22904,941,3572.07,4,0,TCP,12,1,0.439,Europe,0.9,0
D2,Router,v3.0,Ethernet,36382,887,275.6,6,0,MQTT,13,1,0.278,Asia,1.86,0
D3,Sensor,v3.0,WiFi,10971,577,3803.74,11,0,TCP,7,0,0.618,North America,0.42,0
D4,Smart Plug,v2.0,5G,13636,925,2886.37,19,0,MQTT,13,1,0.738,Europe,0.73,1
D5,Smart Plug,v2.1,Ethernet,23197,485,4167.8,11,1,HTTP,12,1,0.463,Asia,0.73,0
D6,Router,v3.0,Ethernet,275,580,1098.13,8,1,TCP,26,1,0.38,Asia,1.13,0
D7,Sensor,v2.1,WiFi,49817,1226,4168.04,3,0,HTTP,22,1,0.365,North America,4.35,0
D8,Sensor,v1.0,5G,3317,768,481.86,7,0,UDP,9,1,0.421,North America,1.48,0
D9,Smart Plug,v2.1,WiFi,15206,872,2025.11,18,1,UDP,21,1,0.843,Asia,1.37,0
D10,Camera,v1.1,5G,30459,107,1005.43,0,0,MQTT,1,1,0.483,North America,0.63,0
D11,Smart Plug,v1.1,5G,46564,921,4381.34,10,0,UDP,11,1,0.314,South America,0.08,0
D12,Smart Plug,v3.0,Ethernet,22457,864,3527.55,12,0,MQTT,15,1,0.182,South America,0.8,0
D13,Smart Plug,v2.1,WiFi,42454,282,136.56,17,1,HTTP,6,1,0.283,North America,3.61,0
D14,Smart Plug,v3.0,WiFi,38670,631,57.52,19,0,HTTP,1,1,0.463,Asia,4.85,0
D15,Router,v2.0,WiFi,7134,971,1463.33,9,1,TCP,15,1,0.548,North America,3.72,1
D16,Sensor,v1.1,5G,16363,321,724.98,12,1,HTTP,21,1,0.621,North America,4.27,0
D17,Router,v3.0,WiFi,42280,1024,3155.22,11,0,UDP,5,1,0.071,Africa,3.93,0
D18,Router,v2.0,5G,8876,1464,3322.35,12,1,MQTT,15,1,0.613,South America,1.48,1
D19,Router,v3.0,WiFi,43922,956,4710.34,1,1,MQTT,24,1,0.352,Europe,3.66,0
D20,Smart Plug,v2.1,WiFi,9912,352,4760.68,2,0,TCP,12,0,0.257,Europe,3.75,0
D21,Camera,v2.1,Ethernet,19839,1035,3297.89,16,0,TCP,9,1,0.331,Europe,1.29,0
D22,Sensor,v2.1,WiFi,27025,166,38.32,18,0,UDP,26,1,0.784,North America,4.6,0
D23,Camera,v2.1,Ethernet,19675,867,1801.4,11,0,MQTT,19,1,0.803,Europe,4.99,0
D24,Router,v1.0,Ethernet,22331,1236,2570.58,15,0,TCP,8,0,0.104,Africa,2.81,1
D25,Router,v2.0,5G,11499,1171,2500.91,19,0,HTTP,1,1,0.495,North America,1.58,0
D26,Camera,v2.0,WiFi,47831,1113,3020.67,19,1,UDP,20,1,0.529,Asia,1.79,0
D27,Camera,v2.1,WiFi,23200,1262,4803.15,9,1,HTTP,15,1,0.03,Asia,2.91,0
D28,Camera,v1.0,WiFi,10868,1433,4427.11,14,0,MQTT,2,1,0.717,North America,0.04,0
D29,Router,v2.1,Ethernet,33399,365,553.45,7,0,TCP,21,1,0.367,South America,1.54,0
D30,Router,v1.0,WiFi,11457,1385,1337.24,18,0,UDP,1,1,0.418,South America,0.25,0
D31,Sensor,v2.1,5G,1537,1222,4167.22,4,0,UDP,28,1,0.61,Asia,3.12,0
D32,Sensor,v1.1,5G,25046,1142,4123.29,11,0,TCP,9,1,0.469,Europe,3.02,0
D33,Router,v1.1,WiFi,20988,119,1384.1,9,0,TCP,24,1,0.748,Africa,2.96,0
D34,Camera,v3.0,Ethernet,5602,1078,3655.63,13,0,MQTT,19,1,0.596,North America,0.75,0
D35,Camera,v2.1,5G,40476,437,3363.47,11,0,HTTP,22,1,0.226,Africa,4.72,0
D36,Sensor,v2.0,5G,5666,894,2372.88,12,1,HTTP,4,1,0.87,Africa,2.67,0
D37,Router,v3.0,Ethernet,41676,983,1015.26,16,0,HTTP,7,1,0.216,Africa,2.78,0
D38,Sensor,v1.1,5G,4114,1426,4444.33,0,0,MQTT,11,1,0.714,North America,2.72,0
D39,Sensor,v2.1,Ethernet,13713,520,3392.48,9,0,TCP,3,1,0.792,Europe,2.62,0
D40,Smart Plug,v3.0,5G,40267,1442,853.27,4,0,UDP,13,0,0.688,North America,4.69,0
D41,Smart Plug,v2.1,Ethernet,33799,195,3526.96,10,0,HTTP,22,1,0.422,Asia,3.01,0
D42,Smart Plug,v1.1,5G,49645,556,3709.75,9,0,TCP,26,1,0.878,Europe,2.43,0
D43,Camera,v3.0,WiFi,35333,173,4435.53,5,0,HTTP,14,0,0.328,Asia,3.83,0
D44,Router,v1.1,5G,48491,645,1121.97,14,0,MQTT,20,1,0.687,Africa,1.26,0
D45,Router,v1.0,5G,21914,859,4943.88,8,0,MQTT,2,1,0.878,Europe,0.96,0
D46,Router,v1.1,WiFi,23486,1213,775.43,7,0,TCP,23,1,0.155,Africa,2.2,0
D47,Router,v2.1,WiFi,46876,1383,3007.44,5,0,MQTT,21,1,0.653,Asia,0.08,0
D48,Smart Plug,v2.0,WiFi,41685,1266,3289.31,5,0,UDP,14,1,0.901,North America,1.47,0
D49,Camera,v1.1,WiFi,38856,873,2100.57,16,0,MQTT,3,1,0.103,Europe,2.1,0
D50,Camera,v2.0,Ethernet,7609,949,2380.44,11,0,UDP,14,0,0.146,Africa,2.89,0
D51,Smart Plug,v1.0,Ethernet,22416,1284,4455.64,6,0,HTTP,24,1,0.378,South America,2.72,0
D52,Camera,v3.0,5G,45717,836,3229.92,4,1,MQTT,8,1,0.994,Africa,1.84,0
D53,Smart Plug,v3.0,5G,11171,1188,2490.03,15,1,UDP,17,1,0.224,Asia,1.72,0
D54,Router,v2.0,5G,27842,1000,650.46,5,0,HTTP,25,0,0.325,Asia,0.01,0
D55,Smart Plug,v3.0,Ethernet,46949,636,46.61,7,0,HTTP,12,1,0.835,North America,4.41,0
D56,Router,v1.1,5G,13328,1270,633.59,2,0,HTTP,8,1,0.131,Europe,1.16,1
D57,Router,v2.0,5G,11714,872,4781.36,7,1,HTTP,3,1,0.996,South America,1.79,0
