Classifier,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV-F1 (mean +/- std),Train Time (s)
Decision Tree (CART),0.6469,0.1073,0.3613,0.1654,0.5233,0.7784 +/- 0.0078,0.128
Decision Tree (Entropy/ID3),0.6325,0.1071,0.3806,0.1671,0.5296,0.7689 +/- 0.0044,0.227
Naive Bayes (Gaussian),0.6231,0.1042,0.3806,0.1637,0.5264,0.7528 +/- 0.0078,0.004
KNN (K=3),0.6081,0.0945,0.3548,0.1493,0.4951,0.8257 +/- 0.0075,0.035
KNN (K=5),0.5869,0.0958,0.3871,0.1536,0.5071,0.8151 +/- 0.0052,0.030
KNN (K=7),0.5706,0.1030,0.4452,0.1673,0.5109,0.8079 +/- 0.0046,0.032
KNN (K=11),0.5463,0.0996,0.4581,0.1636,0.5074,0.7975 +/- 0.0052,0.047
SVM (Linear),0.6431,0.1162,0.4065,0.1808,0.5286,0.6811 +/- 0.0095,41.682
SVM (RBF),0.7438,0.0978,0.2000,0.1314,0.5041,0.8308 +/- 0.0085,28.905
Random Forest,0.7712,0.1136,0.2000,0.1449,0.5366,0.8613 +/- 0.0080,4.207
MLP Neural Network,0.7762,0.1081,0.1806,0.1353,0.5197,0.8513 +/- 0.0134,9.376
